"OriginalPath","BackupPath","LastWriteTime","Length"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1","5/10/2023 10:53:30 AM","18977"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1","5/10/2023 10:53:30 AM","14761"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1","5/10/2023 10:53:30 AM","25773"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1","5/10/2023 10:53:30 AM","22193"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1","5/10/2023 10:53:30 AM","18851"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1","5/10/2023 10:53:30 AM","19229"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyEnvironmentVariable.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyEnvironmentVariable.ps1","5/10/2023 10:53:30 AM","17239"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyExplorerMenuItem.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyExplorerMenuItem.ps1","5/10/2023 10:53:30 AM","17495"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyFileAssociation.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyFileAssociation.ps1","5/10/2023 10:53:30 AM","16026"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyInstallPackage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyInstallPackage.ps1","5/10/2023 10:53:30 AM","27327"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPackage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPackage.ps1","5/10/2023 10:53:30 AM","30119"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPath.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPath.ps1","5/10/2023 10:53:30 AM","17287"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPinnedTaskBarItem.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPinnedTaskBarItem.ps1","5/10/2023 10:53:30 AM","15602"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPowershellCommand.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPowershellCommand.ps1","5/10/2023 10:53:30 AM","22265"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyShortcut.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyShortcut.ps1","5/10/2023 10:53:30 AM","20857"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyVsixPackage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyVsixPackage.ps1","5/10/2023 10:53:30 AM","21951"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyZipPackage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyZipPackage.ps1","5/10/2023 10:53:30 AM","23097"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-Vsix.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-Vsix.ps1","5/10/2023 10:53:30 AM","15124"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-EnvironmentVariable.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-EnvironmentVariable.ps1","5/10/2023 10:53:30 AM","17409"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-PowerShellExitCode.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-PowerShellExitCode.ps1","5/10/2023 10:53:30 AM","14657"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Start-ChocolateyProcessAsAdmin.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Start-ChocolateyProcessAsAdmin.ps1","5/10/2023 10:53:30 AM","29009"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Test-ProcessAdminRights.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Test-ProcessAdminRights.ps1","5/10/2023 10:53:30 AM","14859"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-BinFile.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-BinFile.ps1","5/10/2023 10:53:30 AM","16629"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyEnvironmentVariable.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyEnvironmentVariable.ps1","5/10/2023 10:53:30 AM","16077"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyPackage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyPackage.ps1","5/10/2023 10:53:30 AM","19009"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\UnInstall-ChocolateyZipPackage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\UnInstall-ChocolateyZipPackage.ps1","5/10/2023 10:53:30 AM","15842"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Update-SessionEnvironment.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Update-SessionEnvironment.ps1","5/10/2023 10:53:30 AM","16558"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Write-FunctionCallLogMessage.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Write-FunctionCallLogMessage.ps1","5/10/2023 10:53:30 AM","14920"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe","5/10/2023 10:53:32 AM","146048"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe.ignore","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe.ignore","5/10/2023 10:53:32 AM","2"
